epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.6704,2.77659,4.71564,2.63465,0.91996,0.07532,0.03837,0.0109,2.93373,6.03955,3.01077,0.000220917,0.000220917,0.000220917
2,64.2913,2.32373,4.03669,2.28856,0.77436,0.05769,0.06009,0.02063,2.77838,3.91313,2.87118,0.000436499,0.000436499,0.000436499
3,95.2892,2.17626,3.67378,2.19897,0.51313,0.14783,0.09437,0.04274,2.46194,3.40011,2.58483,0.000645309,0.000645309,0.000645309
4,126.415,2.05075,3.33814,2.097,0.46782,0.20069,0.11872,0.04936,2.34329,3.48204,2.49397,0.000636523,0.000636523,0.000636523
5,156.753,1.99886,3.12774,2.02252,0.51599,0.1955,0.1594,0.07049,2.21169,3.05368,2.39477,0.000626364,0.000626364,0.000626364
6,188.542,1.9261,2.9926,1.98042,0.46899,0.24728,0.20236,0.08886,2.11853,2.8432,2.29991,0.000616205,0.000616205,0.000616205
7,219.787,1.87289,2.8494,1.91996,0.47925,0.23882,0.23548,0.09926,2.11455,2.6314,2.23814,0.000606046,0.000606046,0.000606046
8,251.086,1.84835,2.75155,1.89528,0.45728,0.25865,0.21611,0.09465,2.07443,2.79128,2.25399,0.000595888,0.000595888,0.000595888
9,282.817,1.82059,2.65781,1.86495,0.51754,0.28775,0.26532,0.12772,2.0279,2.53232,2.18699,0.000585729,0.000585729,0.000585729
10,315.251,1.78796,2.58791,1.83478,0.46632,0.27713,0.28202,0.13276,1.96938,2.36466,2.16311,0.00057557,0.00057557,0.00057557
11,346.234,1.77065,2.50251,1.82984,0.50035,0.32394,0.29734,0.13438,1.98927,2.40508,2.12469,0.000565411,0.000565411,0.000565411
12,377.065,1.74767,2.45281,1.787,0.59546,0.3121,0.31346,0.13852,2.00976,2.27744,2.13059,0.000555252,0.000555252,0.000555252
13,408.476,1.72714,2.37762,1.77371,0.5476,0.30498,0.31137,0.1575,1.92509,2.37788,2.09511,0.000545093,0.000545093,0.000545093
14,440.007,1.69011,2.33025,1.75306,0.48298,0.39332,0.34503,0.15904,1.94226,2.1537,2.10549,0.000534934,0.000534934,0.000534934
15,471.872,1.69209,2.24285,1.74065,0.53409,0.35566,0.41145,0.20093,1.91505,2.10335,2.06365,0.000524775,0.000524775,0.000524775
16,502.929,1.68814,2.21687,1.73306,0.61869,0.35834,0.35527,0.17923,1.87839,2.15343,2.07478,0.000514616,0.000514616,0.000514616
17,534.078,1.68521,2.21463,1.7368,0.65465,0.38538,0.40547,0.20178,1.81992,2.0669,1.981,0.000504457,0.000504457,0.000504457
18,565.813,1.65979,2.16852,1.71541,0.66173,0.35498,0.37652,0.18575,1.91151,2.16917,2.08679,0.000494298,0.000494298,0.000494298
