                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9803,                 3.8935,                 1.9999,                0.38814,                0.21907,                0.14716,                0.07038,                 2.0699,                 3.1589,                 2.1745,             0.00022092,             0.00022092,             0.00022092
                      2,                 1.8178,                 3.1623,                 1.8261,                 0.4343,                0.24772,                0.15547,                0.06523,                 2.0526,                 3.2997,                 2.2284,             0.00044033,             0.00044033,             0.00044033
                      3,                 1.8213,                  2.882,                 1.8043,                 0.4784,                0.32839,                0.22117,                0.09905,                 2.0651,                 3.4319,                 2.1878,              0.0006568,              0.0006568,              0.0006568
                      4,                 1.7944,                 2.7096,                 1.7957,                0.62858,                0.27591,                 0.2534,                0.11663,                 1.9917,                 2.6494,                 2.0823,             0.00065379,             0.00065379,             0.00065379
                      5,                 1.7448,                 2.5314,                 1.7425,                0.58602,                0.35228,                0.31929,                0.15022,                 1.9886,                 2.3312,                 2.0443,             0.00065379,             0.00065379,             0.00065379
                      6,                 1.7186,                 2.4063,                 1.7413,                0.52856,                0.33574,                  0.323,                0.14514,                 1.9472,                 2.2402,                 1.9905,             0.00064939,             0.00064939,             0.00064939
                      7,                 1.6983,                 2.3319,                 1.7264,                0.64837,                 0.2987,                  0.312,                  0.158,                 1.8777,                 2.3141,                 2.0104,             0.00064499,             0.00064499,             0.00064499
                      8,                 1.6701,                 2.2287,                 1.6924,                 0.6591,                0.39332,                0.39059,                 0.1998,                 1.8138,                 2.0879,                 1.9362,             0.00064059,             0.00064059,             0.00064059
                      9,                 1.6372,                 2.1436,                 1.6701,                0.60916,                0.38878,                0.41506,                0.21272,                 1.8113,                 2.1217,                  1.922,             0.00063618,             0.00063618,             0.00063618
                     10,                 1.6445,                 2.0825,                 1.6743,                 0.7196,                0.41816,                0.45166,                0.21819,                 1.8262,                  1.982,                 1.9317,             0.00063178,             0.00063178,             0.00063178
                     11,                 1.6128,                 2.0665,                 1.6523,                0.61865,                0.43419,                0.43026,                0.22024,                  1.767,                 2.4821,                 1.8747,             0.00062738,             0.00062738,             0.00062738
                     12,                 1.5767,                 1.9805,                 1.6141,                0.52443,                0.47635,                0.49508,                0.24969,                 1.8037,                 1.8852,                 1.9111,             0.00062298,             0.00062298,             0.00062298
                     13,                 1.5799,                 1.9804,                 1.6297,                0.52019,                0.50153,                0.46952,                0.22635,                 1.7606,                 1.8787,                 1.8266,             0.00061858,             0.00061858,             0.00061858
                     14,                 1.5778,                 1.9563,                 1.6132,                0.62584,                0.43829,                0.45627,                0.25112,                 1.7222,                 1.9508,                 1.8277,             0.00061417,             0.00061417,             0.00061417
                     15,                 1.5438,                 1.9022,                 1.5943,                0.55288,                0.49964,                0.48238,                0.25499,                 1.7178,                 1.8034,                 1.8206,             0.00060977,             0.00060977,             0.00060977
